City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,ruidoso,33.3317,-105.673,6.14,58,0,1.54,US,1698696120
310,callao,-12.0667,-77.15,22.16,73,0,6.17,PE,1698696120
311,sumbawanga,-7.9667,31.6167,21.78,38,68,2.14,TZ,1698696120
312,ganjam,19.3833,85.0667,23.27,77,33,1.77,IN,1698696121
313,gulf breeze,30.3571,-87.1639,28.6,69,40,4.12,US,1698696024
314,zaragoza,41.6561,-0.8773,15.25,50,20,6.17,ES,1698695683
315,niafunke,15.9322,-3.9906,33.3,14,96,1.9,ML,1698696121
316,la solana,38.9442,-3.2381,10.11,68,70,4.84,ES,1698696122
317,chulakkurgan,43.765,69.1814,13.25,62,99,8.47,KZ,1698696122
318,cabedelo,-6.9811,-34.8339,29.37,72,87,6.24,BR,1698696123
319,holyhead,53.3062,-4.6321,11.96,87,75,4.12,GB,1698696124
320,bechar,31.6167,-2.2167,25.18,19,40,0.0,DZ,1698696124
321,taltal,-25.4,-70.4833,19.99,64,11,2.71,CL,1698696124
322,villanueva,15.3167,-88.0,30.55,58,40,2.57,HN,1698696125
323,piacabucu,-10.4056,-36.4344,25.4,66,100,3.85,BR,1698696126
324,labytnangi,66.6572,66.4183,-13.01,97,100,1.06,RU,1698696126
325,kone,-21.0595,164.8658,20.99,70,100,1.91,NC,1698696127
326,real,14.6625,121.6047,25.88,88,100,5.15,PH,1698696128
327,singkil,-7.9855,111.4161,24.05,88,57,1.5,ID,1698696128
328,fonte boa,-2.4959,-66.2662,35.65,40,80,1.54,BR,1698696129
329,namibe,-15.1961,12.1522,18.95,80,0,2.25,AO,1698696130
330,gobabis,-22.45,18.9667,22.94,12,3,4.86,NA,1698696130
331,mahriz,31.5917,54.4318,19.28,27,100,0.59,IR,1698696131
332,floro,61.5996,5.0328,5.54,44,0,2.06,NO,1698696131
333,encruzilhada do sul,-30.5439,-52.5219,17.6,96,100,4.25,BR,1698696131
334,altai,46.3722,96.2583,0.57,73,28,4.31,MN,1698696132
335,mikuni,36.2171,136.1519,8.95,76,15,2.46,JP,1698696133
336,selfoss,63.9331,-20.9971,1.69,78,21,3.23,IS,1698696133
337,anna regina,7.2644,-58.5077,29.29,71,81,4.37,GY,1698696133
338,kongolo,-5.3833,27.0,20.63,95,100,1.69,CD,1698696133
339,nemuro,43.3236,145.575,9.67,80,9,4.52,JP,1698696134
340,vorkuta,67.5,64.0,-12.66,89,100,3.01,RU,1698696166
341,vallegrande,-18.4897,-64.1069,28.36,35,25,6.41,BO,1698696166
342,shimoda,34.6667,138.95,16.17,73,99,1.59,JP,1698696168
343,latimer,30.5346,-88.8667,27.7,61,0,2.06,US,1698696168
344,yanam,16.7333,82.2167,24.08,77,42,1.83,IN,1698696169
345,tabina,7.4669,123.4081,26.39,82,91,2.21,PH,1698696170
346,ugoofaaru,5.6667,73.0,27.49,75,100,2.67,MV,1698696170
347,saint-pierre,-21.3393,55.4781,23.82,73,0,1.03,RE,1698696240
